,inflow,time,link_id
514,1,5.36,4
515,1,5.4,4
516,1,5.44,4
517,1,5.48,4
518,1,5.52,4
519,1,5.56,4
520,1,5.6,4
521,1,5.64,4
522,1,5.68,4
523,1,5.72,4
524,1,5.76,4
525,1,5.8,4
526,1,5.84,4
527,1,5.88,4
528,1,5.92,4
529,1,5.96,4
530,1,6.0,4
531,1,6.04,4
532,1,6.08,4
533,1,6.12,4
534,1,6.16,4
535,1,6.2,4
536,1,6.24,4
537,1,6.28,4
538,1,6.32,4
539,1,6.36,4
540,1,6.4,4
541,1,6.44,4
542,1,6.48,4
1362,1,14.08,4
1363,1,14.12,4
1364,1,14.16,4
1365,1,14.2,4
1879,1,14.72,4
1880,1,14.76,4
1881,1,14.8,4
1882,1,14.84,4
1883,1,14.88,4
1884,1,14.92,4
2556,1,22.08,4
2557,1,22.12,4
2558,1,22.16,4
2559,1,22.2,4
2560,1,22.24,4
2561,1,22.28,4
2562,1,22.32,4
2563,1,22.36,4
2564,1,22.4,4
2565,1,22.44,4
2566,1,22.48,4
2567,1,22.52,4
2568,2,22.56,4
2569,2,22.6,4
2570,2,22.64,4
2571,2,22.68,4
2572,3,22.72,4
2573,3,22.76,4
2574,3,22.8,4
3048,1,15.84,4
3049,1,15.88,4
3050,1,15.92,4
3051,1,15.96,4
3052,1,16.0,4
3053,1,16.04,4
3054,1,16.08,4
3055,1,16.12,4
3056,1,16.16,4
3057,1,16.2,4
3058,1,16.24,4
3059,1,16.28,4
3060,1,16.32,4
3061,2,16.36,4
3062,2,16.4,4
3063,2,16.44,4
3064,2,16.48,4
3065,2,16.52,4
3066,2,16.56,4
3067,2,16.6,4
3068,2,16.64,4
3069,2,16.68,4
3615,1,20.08,4
3616,1,20.12,4
3617,1,20.16,4
3618,1,20.2,4
3619,1,20.24,4
3620,1,20.28,4
3621,1,20.32,4
3622,1,20.36,4
3623,1,20.4,4
3624,1,20.44,4
3625,1,20.48,4
3626,1,20.52,4
3627,1,20.56,4
3628,2,20.6,4
3629,2,20.64,4
4131,1,18.4,4
4132,1,18.44,4
4133,1,18.48,4
4134,1,18.52,4
4135,1,18.56,4
4136,1,18.6,4
4137,1,18.64,4
4138,1,18.68,4
4139,1,18.72,4
4140,1,18.76,4
4141,1,18.8,4
4142,1,18.84,4
4143,1,18.88,4
4144,1,18.92,4
4145,1,18.96,4
4146,1,19.0,4
4147,1,19.04,4
4148,1,19.08,4
4760,2,22.84,4
4761,2,22.88,4
4762,2,22.92,4
5500,2,25.16,4
5501,2,25.2,4
5502,1,25.24,4
5503,1,25.28,4
5504,1,25.32,4
5505,1,25.36,4
5506,1,25.4,4
5507,1,25.44,4
5508,1,25.48,4
5509,1,25.52,4
5510,1,25.56,4
5511,1,25.6,4
5512,1,25.64,4
5513,1,25.68,4
5514,1,25.72,4
5515,2,25.76,4
5516,2,25.8,4
5517,2,25.84,4
5518,3,25.88,4
5519,3,25.92,4
5520,3,25.96,4
5521,3,26.0,4
5522,3,26.04,4
5997,1,16.92,4
5998,1,16.96,4
5999,1,17.0,4
6000,1,17.04,4
6001,1,17.08,4
6002,1,17.12,4
6003,1,17.16,4
6004,1,17.2,4
6005,1,17.24,4
6006,1,17.28,4
6007,1,17.32,4
6008,1,17.36,4
6009,1,17.4,4
6010,1,17.44,4
6011,1,17.48,4
6012,1,17.52,4
6477,1,16.72,4
7119,1,22.96,4
7120,1,23.0,4
7121,1,23.04,4
7122,1,23.08,4
7123,1,23.12,4
7124,1,23.16,4
7125,1,23.2,4
7126,1,23.24,4
7127,1,23.28,4
7128,1,23.32,4
7129,1,23.36,4
7130,1,23.4,4
7131,1,23.44,4
7132,1,23.48,4
7133,1,23.52,4
7822,2,26.08,4
7823,2,26.12,4
7824,2,26.16,4
7825,2,26.2,4
7826,1,26.24,4
7827,1,26.28,4
7828,1,26.32,4
7829,1,26.36,4
8497,2,23.84,4
8498,2,23.88,4
8499,2,23.92,4
8500,2,23.96,4
8501,2,24.0,4
8502,2,24.04,4
8503,2,24.08,4
8504,2,24.12,4
8505,2,24.16,4
8506,1,24.2,4
8507,1,24.24,4
8508,1,24.28,4
8509,1,24.32,4
8510,1,24.36,4
8511,1,24.4,4
8512,1,24.44,4
8513,1,24.48,4
8514,2,24.52,4
8515,2,24.56,4
8516,2,24.6,4
8517,2,24.64,4
8518,2,24.68,4
9844,1,42.28,4
9845,1,42.32,4
9846,1,42.36,4
9847,1,42.4,4
9848,1,42.44,4
9849,1,42.48,4
9850,1,42.52,4
9851,1,42.56,4
9852,1,42.6,4
9853,1,42.64,4
9854,1,42.68,4
9855,1,42.72,4
9856,1,42.76,4
9857,1,42.8,4
9858,1,42.84,4
9859,1,42.88,4
9860,1,42.92,4
9861,1,42.96,4
9862,1,43.0,4
9863,1,43.04,4
9864,1,43.08,4
9865,1,43.12,4
10992,2,66.96,4
10993,2,67.0,4
10994,2,67.04,4
10995,2,67.08,4
10996,2,67.12,4
10997,2,67.16,4
10998,2,67.2,4
11946,2,30.48,4
11947,2,30.52,4
11948,2,30.56,4
11949,1,30.6,4
11950,1,30.64,4
11951,1,30.68,4
11952,1,30.72,4
11953,1,30.76,4
11954,2,30.8,4
11955,2,30.84,4
11956,2,30.88,4
11957,2,30.92,4
11958,2,30.96,4
11959,2,31.0,4
13677,2,32.88,4
13678,2,32.92,4
13679,2,32.96,4
13680,2,33.0,4
13681,2,33.04,4
13682,2,33.08,4
13683,1,33.12,4
13684,1,33.16,4
13685,1,33.2,4
13686,1,33.24,4
13687,1,33.28,4
13688,1,33.32,4
13689,1,33.36,4
13690,1,33.4,4
13691,1,33.44,4
15459,1,37.08,4
15460,1,37.12,4
15461,1,37.16,4
15462,1,37.2,4
15463,1,37.24,4
15464,1,37.28,4
15465,1,37.32,4
15466,1,37.36,4
15467,1,37.4,4
15468,1,37.44,4
15469,1,37.48,4
15470,2,37.52,4
15471,2,37.56,4
15472,2,37.6,4
16631,1,41.28,4
16632,1,41.32,4
16633,1,41.36,4
16634,1,41.4,4
16635,1,41.44,4
16636,1,41.48,4
16637,1,41.52,4
16638,1,41.56,4
16639,1,41.6,4
16640,1,41.64,4
16641,1,41.68,4
16642,1,41.72,4
16643,1,41.76,4
16644,1,41.8,4
