geometry
"LINESTRING (37.98027257349481 23.735392720193808, 37.98000545435394 23.735604872759122)"
"LINESTRING (37.98000545435394 23.735604872759122, 37.979738335213085 23.735817025324433)"
"LINESTRING (37.979738335213085 23.735817025324433, 37.97947121607222 23.736029177889748)"
"LINESTRING (37.97947121607222 23.736029177889748, 37.97920409693136 23.736241330455062)"
"LINESTRING (37.97920409693136 23.736241330455062, 37.9789369777905 23.736453483020373)"
"LINESTRING (37.9789369777905 23.736453483020373, 37.97866985864964 23.736665635585688)"
"LINESTRING (37.97866985864964 23.736665635585688, 37.97840273950877 23.736877788151002)"
"LINESTRING (37.97840273950877 23.736877788151002, 37.978135620367915 23.737089940716313)"
"LINESTRING (37.978135620367915 23.737089940716313, 37.97786850122705 23.737302093281627)"
"LINESTRING (37.97786850122705 23.737302093281627, 37.977601382086185 23.737514245846942)"
"LINESTRING (37.977601382086185 23.737514245846942, 37.97733426294533 23.737726398412253)"
"LINESTRING (37.97733426294533 23.737726398412253, 37.977027645680224 23.737784847741572)"
"LINESTRING (37.977027645680224 23.737784847741572, 37.976691338504835 23.737727761577148)"
"LINESTRING (37.976691338504835 23.737727761577148, 37.976355031329454 23.737670675412726)"
"LINESTRING (37.976355031329454 23.737670675412726, 37.976018724154066 23.7376135892483)"
