lat,lon,speed,lon_acc,lat_acc,time,veh_id,link_id,link_distance,one_axis_trajectory
37.977391,23.737688,4.9178,0.0518,-0.0299,0.000000,1,4,1.2000000001677336e-05,2642467.3407696
37.977391,23.737688,4.9207,-0.0124,-0.0354,0.040000,1,4,1.2000000001677336e-05,2642467.3407696
37.977391,23.737688,4.9160,-0.0519,-0.0413,0.080000,1,4,1.2000000001677336e-05,2642467.3407696
37.977390,23.737688,4.9057,-0.0914,-0.0478,0.120000,1,4,1.2000000001677336e-05,2642467.3407696
37.977390,23.737689,4.8871,-0.1679,-0.0550,0.160000,1,4,1.100000000064938e-05,2642467.4520890913
37.977389,23.737689,4.8547,-0.2815,-0.0628,0.200000,1,4,1.100000000064938e-05,2642467.4520890913
37.977389,23.737689,4.8033,-0.4320,-0.0713,0.240000,1,4,1.100000000064938e-05,2642467.4520890913
37.977388,23.737690,4.7318,-0.5617,-0.0804,0.280000,1,4,9.999999999621423e-06,2642467.563408582
37.977388,23.737690,4.6442,-0.6543,-0.0905,0.320000,1,4,9.999999999621423e-06,2642467.563408582
37.977388,23.737690,4.5437,-0.7413,-0.1017,0.360000,1,4,9.999999999621423e-06,2642467.563408582
37.977387,23.737690,4.4311,-0.8227,-0.1143,0.400000,1,4,9.999999999621423e-06,2642467.563408582
37.977387,23.737691,4.3046,-0.9354,-0.1285,0.440000,1,4,8.999999998593466e-06,2642467.6747280727
37.977386,23.737691,4.1600,-1.0729,-0.1439,0.480000,1,4,8.999999998593466e-06,2642467.6747280727
37.977386,23.737691,4.4411,-0.5617,-0.0949,0.520000,1,4,8.999999998593466e-06,2642467.6747280727
37.977385,23.737692,4.3561,-0.6183,-0.1044,0.560000,1,4,8.000000001118224e-06,2642467.7860475634
37.977385,23.737692,4.2639,-0.6621,-0.1133,0.600000,1,4,8.000000001118224e-06,2642467.7860475634
37.977384,23.737692,4.1654,-0.7059,-0.1219,0.640000,1,4,8.000000001118224e-06,2642467.7860475634
37.977384,23.737692,4.0595,-0.7660,-0.1298,0.680000,1,4,8.000000001118224e-06,2642467.7860475634
37.977384,23.737693,3.9439,-0.8388,-0.1369,0.720000,1,4,7.000000000090267e-06,2642467.897367054
37.977383,23.737693,3.8183,-0.9065,-0.1430,0.760000,1,4,7.000000000090267e-06,2642467.897367054
37.977383,23.737693,3.6842,-0.9561,-0.1484,0.800000,1,4,7.000000000090267e-06,2642467.897367054
37.977383,23.737693,3.5447,-0.9812,-0.1530,0.840000,1,4,7.000000000090267e-06,2642467.897367054
37.977382,23.737694,3.4018,-1.0035,-0.1567,0.880000,1,4,5.999999999062312e-06,2642468.008686546
37.977382,23.737694,3.2559,-1.0228,-0.1593,0.920000,1,4,5.999999999062312e-06,2642468.008686546
37.977382,23.737694,3.1076,-1.0370,-0.1610,0.960000,1,4,5.999999999062312e-06,2642468.008686546
37.977381,23.737694,2.9576,-1.0458,-0.1618,1.000000,1,4,5.999999999062312e-06,2642468.008686546
37.977381,23.737695,2.8081,-1.0303,-0.1618,1.040000,1,4,5.000000001587069e-06,2642468.120006036
